"id","en","ru","de","fr"
"CANNOT_BIND_TCP_SOCKET","Cannot bind TCP socket","Не удаётся привязать сокет TCP","Kann TCP-Socket nicht binden","Impossible de lier un socket TCP"
"CANNOT_CREATE_DIR","Cannot create directory","Не удаётся создать директорию","Verzeichnis kann nicht erstellt werden","Impossible de créer le dossier"
"CANNOT_CREATE_TCP_SOCKET","Cannot create TCP socket","Не удаётся создать сокет TCP","Kann TCP-Socket nicht erstellen","Impossible de créer un socket TCP"
"CANNOT_GET_FILELIST","Cannot get list of files","Не удаётся получить список файлов","Kann Dateiliste nicht erstellen","Impossible de récupérer la liste des fichiers"
"CANNOT_GET_PATH_TO_MY_DOCUMENTS","Could not get path to 'My Documents' directory","Не удалось получить путь к директории 'Мои Документы'","Pfad zum Verzeichnis 'Eigene Dateien' konnte nicht gefunden werden","Impossible de récupérer le chemin vers le dossier 'Mes documents'"
"CANNOT_INIT_SOUND_SYSTEM","Cannot initialize sound system","Не удаётся инициализировать звуковую систему","Kann Soundsystem nicht initialisieren","Impossible d'initialiser le système sonore"
"CANNOT_LOAD_SOUND_BUF_FROM_MEM","Cannot load sound buffer from memory","Не удаётся загрузить звуковой буфер из памяти","Kann Soundpuffer nicht aus dem Speicher laden  ","Impossible de charger le tampon de son depuis la mémoire"
"CANNOT_OPEN_SAVEFILE","Cannot open save file","Не удаётся открыть файл сохранения","Kann die Datei nicht öffnen","Impossible d'ouvrir le fichier de sauvegarde"
"CANNOT_OPEN_STATFILE","Cannot open statistics file","Не удаётся открыть файл статистики","Kann die Statistik-Datei nicht öffnen","Impossible d'ouvrir le fichier de statistiques"
"CANNOT_OPEN_DISPLAY","Cannot open display","Не удаётся открыть дисплей","Kann das Display nicht öffnen","Impossible d'ouvrir l'affichage"
"CANNOT_READ_STAT","Cannot read statistics from file","Не удаётся прочитать статистику из файла","Kann keine Statistik aus der der Datei lesen","Impossible de lire les statistiques depuis le fichier"
"CANNOT_REMOVE_FILE_OR_DIR","Cannot remove file or directory","Не удаётся удалить файл или директорию","Kann Datei oder Verzeichnis nicht löschen","Impossible de supprimer le fichier ou le dossier"
"CANNOT_REMOVE_SNAPSHOT","Cannot remove a snapshot","Не удаётся удалить снимок",,"Impossible de supprimer une capture"
"CANNOT_SAVE_CFGFILE","Cannot save config file","Не удаётся сохранить файл настроек","Kann die Konfigurationsdatei nicht sichern","Impossible de sauvegarder le fichier de configuration"
"CANNOT_SAVE_STATFILE","Cannot save statistics file","Не удаётся сохранить файл статистики","Kann die Statistikdatei nicht sichern","Impossible de sauvegarder le fichier de statistiques"
"CANNOT_SET_ALURE_IO_CALLBACKS","Cannot set ALURE IO callbacks","Не удаётся установить ALURE IO callbacks","ALURE IO Rückrufe konnten nicht eingestellt werden","Impossible de régler les rappels ALURE IO"
"CANNOT_SET_NEGATIVE_TIMER_RES","Cannot set negative timer resolution","Нельзя установить отрицательное разрешение таймера","Negative Timer-Auflösung kann nicht eingestellt werden","Impossible de régler une résolution négative du minuteur"
"EMPTY_SAVEFILE","Empty save file","Пустой файл сохранения","Leere Speicherdatei","Fichier de sauvegarde vide"
"INTERNAL_SOUND_SYSTEM_ERROR","Internal sound system error","Внутренняя ошибка звуковой системы","Interner Soundsystem Fehler","Erreur du système sonore interne"
"INVALID_BUTTON","Invalid button","Неверная кнопка","Ungültige Taste","Bouton invalide"
"INVALID_CEGUI_WINDOW_PTR","Invalid CEGUI::Window pointer","Неверный указатель CEGUI::Window","Ungültiger CEGUI::Window Zeiger","Pointeur CEGUI::Window invalide"
"INVALID_CMD_TYPE","Invalid command type","Неверный тип команды","Ungültiger Befehlstyp","Type de commande invalide"
"INVALID_DRAW_AXIS","Invalid draw axis","Неверная ось черчения","Ungültige Zeichen-Achse","Axe de dessin invalide"
"INVALID_GAME_DIFFICULTY","Invalid game difficulty","Неверная сложность игры","Ungültige Spielschwierigkeit","Difficulté de jeu invalide"
"INVALID_GAME_DIFFICULTY_ID","Invalid game difficulty ID","Неверное значение ID сложности игры","Ungültige Spielschwierigkeit-ID","ID de difficulté de jeu invalide"
"INVALID_GAME_STRATEGY","Invalid game strategy","Неверная стратегия игры","Ungültige Spielstrategie","Stratégie de jeu invalide"
"INVALID_GAME_TYPE","Invalid game type","Неверный тип игры","Ungültiger Spieltyp","Type de jeu invalide"
"INVALID_GAME_TYPE_ID","Invalid game type ID","Неверное значение ID типа игры","Ungültige Spieltyp-ID","ID de type de jeu invalide"
"INVALID_INPUT_POINTS","Invalid input points","Неверные входные точки","Ungültige Eingabe Punkte","Points d'entrée invalides"
"INVALID_LAYOUT_DIM","Invalid layout dimensions","Неверные размеры раскладки","Ungültige Layout-Dimensionen","Dimensions de disposition invalides"
"INVALID_LAYOUT_FILE","Invalid layout file","Неверный файл раскладки","Ungültige Layout-Datei","Fichier de disposition invalide"
"INVALID_RES_CFG_VALUE","Invalid 'Resolution' config value","Неверное значение 'Resolution' в настройках","Ungültiger 'Resolution' Wert","Valeur de configuration 'Résolution' invalide"
"INVALID_SAVEFILE_CMD_TYPE","Invalid save file command type","Неверная команда файла сохранения","Ungültiger Datei-speichern Befehlstyp","Type de commande de fichier de sauvegarde invalide"
"INVALID_SCENE_FILE","Invalid scene file","Неверный файл сцены","Ungültige Szene-Datei","Fichier de scène invalide"
"INVALID_SCENE_TYPE","Invalid scene type","Неверный тип сцены","Ungültiger Szene-Typ","Type de scène invalide"
"INVALID_STATE","Invalid state","Неверное состояние","Ungültiger Zustand","Etat invalide"
"INVALID_TEXTURE_FILTERING_ID","Invalid texture filtering ID","Неверное значение ID фильтрации текстур","Ungültige Textur-Filterungs ID","ID de filtrage de texture invalide"
"INVALID_TILE_ID","Invalid tile ID","Неверное значение ID фишки","Ungültige Tile ID","ID de tuile invalide"
"INVALID_TILE_POS","Invalid tile position","Неверная позиция фишки","Ungültige Tile-Position","Position de tuile invalide"
"INVALID_USAGE","Invalid usage","Неверное использование","Falsche Benutzung","Utilisation invalide"
"INVALID_WND_TYPE","Invalid window type","Неверный тип окна","Falscher Fenstertyp","Type de fenêtre invalide"
"LOCALIZATION_FAILED","Localization failed","Локализация не удалась","Lokalisierung fehlgeschlagen","Localisation impossible"
"NO_LAYOUTS_FOR_GAME_TYPE_ID","No layouts found for the game type ID","Не найдено раскладок для игры с этим ID","Keine Layouts für die Spiel-ID gefunden","Aucune disposition trouvée pour l'ID de type de jeu"
"NO_SCENES","No scenes found","Сцен не найдено","TRANSLATE ME","Aucune scène trouvée"
"NO_SUCH_CMD","No such command","Нет такой команды","Dieser Befehl steht nicht zur Verfügung","Pas de telle commande"
"NO_SUCH_CFG_KEY","No such config entry key","Нет такой настройки","Dieser Konfigurations-Eintrag steht nicht zur Verfügung","Pas de telle entrée de clé de configuration"
"NO_SUCH_ITEM","No such item","Нет такого элемента","Dieses Element steht nicht zur Verfügung","Pas de tel élément"
"NO_SUCH_LAYOUT","No such layout","Нет такой раскладки","Dieses Layout steht nicht zur Verfügung","Cette disposition est introuvable"
"NO_THEMES","No themes found","Тем не найдено","Keine Themes gefunden","Aucun thème trouvé"
"NOT_SAVEFILE","Not an OGS Mahjong save file","Не файл сохранения OGS Mahjong","Keine OGS Mahjong Speicher-Datei","Le fichier de sauvegarde n'est pas de OGS Mahjong"
"NOT_STATFILE","Not an OGS Mahjong statistics file","Не файл статистики OGS Mahjong","Keine OGS Mahjong Statistik-Datei","Le fichier de statistiques n'est pas de OGS Mahjong"
"LAYOUT_POS_NB_NOT_MULTIPLE_2","Number of positions of the layout is not multiple of 2","Количество позиций раскладки не кратно 2","Die Anzahl der Positionen des Layouts ist kein Vielfaches von 2","Nombre de positions de la disposition non multiple de 2"
"UNDEF_HOME_ENVVAR","Undefined HOME environment variable","Неопределённая переменная окружения HOME","Unbestimmte HOME Umgebungsvariable","Variable d'environnement HOME non définie"
"UNSUPPORTED_SAVEFILE_FORMAT_VERSION","Unsupported save file format version","Неподдерживаемая версия формата файла сохранений","Nicht unterstützte Speicherdatei-Version","Version de format de fichier de sauvegarde non supportée"
"UNSUPPORTED_STATFILE_FORMAT_VERSION","Unsupported statistics file format version","Неподдерживаемая версия формата файла статистики","Nicht unterstützte Statistikdatei-Version","Version de format de fichier de statistiques non supportée"
